BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;PLAATSNAAM VESTIGING;PROVINCIE VESTIGING;ONDERWIJSTYPE VO EN LEER- OF VERBLIJFSJAAR;VMBO SECTOR;AFDELING;ELEMENTCODE;OPLEIDINGSNAAM;LEER- OF VERBLIJFSJAAR 1 - MAN;LEER- OF VERBLIJFSJAAR 1 - VROUW;LEER- OF VERBLIJFSJAAR 2 - MAN;LEER- OF VERBLIJFSJAAR 2 - VROUW;LEER- OF VERBLIJFSJAAR 3 - MAN;LEER- OF VERBLIJFSJAAR 3 - VROUW;LEER- OF VERBLIJFSJAAR 4 - MAN;LEER- OF VERBLIJFSJAAR 4 - VROUW;LEER- OF VERBLIJFSJAAR 5 - MAN;LEER- OF VERBLIJFSJAAR 5 - VROUW;LEER- OF VERBLIJFSJAAR 6 - MAN;LEER- OF VERBLIJFSJAAR 6 - VROUW
00LJ;02;Chr Coll Schaersvoorde;WINTERSWIJK;Gelderland;VMBO TL lj 3-4;N.v.t.;N.v.t.;0474;MAVO/Theor Lw-Profielloos leerjaar 3;0;0;0;0;23;23;0;0;0;0;0;0
00LJ;02;Chr Coll Schaersvoorde;WINTERSWIJK;Gelderland;VMBO TL lj 3-4;Techniek;N.v.t.;0470;MAVO/Theor Lw-Profiel Techniek;0;0;0;0;0;0;1;0;0;0;0;0
00LJ;02;Chr Coll Schaersvoorde;WINTERSWIJK;Gelderland;VMBO TL lj 3-4;Zorg & Welzijn;N.v.t.;0471;MAVO/Theor Lw-Profiel Zorg en Welzijn;0;0;0;0;0;0;0;2;0;0;0;0
00LJ;05;Chr Coll Schaersvoorde;AALTEN;Gelderland;Brugjaar 1-2;N.v.t.;N.v.t.;0013;Ljvb op VMBO-Th/Gm Lw;0;0;27;35;0;0;0;0;0;0;0;0
00LJ;05;Chr Coll Schaersvoorde;AALTEN;Gelderland;VMBO BL lj 3-4;Economie;Economie en ondernemen;6411;VMBO BB Economie en ondernemen;0;0;0;0;2;0;0;0;0;0;0;0
00LJ;05;Chr Coll Schaersvoorde;AALTEN;Gelderland;VMBO BL lj 3-4;Economie;Economie en ondernemen;6455;LWOO BB Economie en ondernemen;0;0;0;0;3;0;2;0;0;0;0;0
00LJ;05;Chr Coll Schaersvoorde;AALTEN;Gelderland;VMBO BL lj 3-4;Landbouw;Groen;6711;VMBO BB Groen;0;0;0;0;0;0;0;1;0;0;0;0
00LJ;05;Chr Coll Schaersvoorde;AALTEN;Gelderland;VMBO BL lj 3-4;Landbouw;Groen;6755;LWOO BB Groen;0;0;0;0;0;1;0;0;0;0;0;0
00LJ;05;Chr Coll Schaersvoorde;AALTEN;Gelderland;VMBO BL lj 3-4;Techniek;Bouwen, wonen en interieur;6011;VMBO BB Bouwen, wonen en interieur;0;0;0;0;1;0;6;3;0;0;0;0
00LJ;05;Chr Coll Schaersvoorde;AALTEN;Gelderland;VMBO BL lj 3-4;Techniek;Bouwen, wonen en interieur;6055;LWOO BB Bouwen, wonen en interieur;0;0;0;0;3;0;0;0;0;0;0;0
00LJ;05;Chr Coll Schaersvoorde;AALTEN;Gelderland;VMBO BL lj 3-4;Techniek;Produceren, installeren en energie;6111;VMBO BB Produceren, installeren en energie;0;0;0;0;0;0;7;1;0;0;0;0
00LJ;05;Chr Coll Schaersvoorde;AALTEN;Gelderland;VMBO BL lj 3-4;Techniek;Produceren, installeren en energie;6155;LWOO BB Produceren, installeren en energie;0;0;0;0;5;0;7;0;0;0;0;0
00LJ;05;Chr Coll Schaersvoorde;AALTEN;Gelderland;VMBO BL lj 3-4;Zorg & Welzijn;Zorg en welzijn;6611;VMBO BB Zorg en welzijn;0;0;0;0;3;3;0;6;0;0;0;0
00LJ;05;Chr Coll Schaersvoorde;AALTEN;Gelderland;VMBO BL lj 3-4;Zorg & Welzijn;Zorg en welzijn;6655;LWOO BB Zorg en welzijn;0;0;0;0;1;10;0;4;0;0;0;0
00LJ;05;Chr Coll Schaersvoorde;AALTEN;Gelderland;VMBO GL lj 3-4;Economie;Economie en ondernemen;6431;VMBO GL Economie en ondernemen;0;0;0;0;1;4;12;4;0;0;0;0
00LJ;05;Chr Coll Schaersvoorde;AALTEN;Gelderland;VMBO GL lj 3-4;Landbouw;Groen;6731;VMBO GL Groen;0;0;0;0;6;14;5;1;0;0;0;0
00LJ;05;Chr Coll Schaersvoorde;AALTEN;Gelderland;VMBO GL lj 3-4;Landbouw;Groen;6775;LWOO GL Groen;0;0;0;0;0;0;0;1;0;0;0;0
00LJ;05;Chr Coll Schaersvoorde;AALTEN;Gelderland;VMBO GL lj 3-4;Techniek;Bouwen, wonen en interieur;6031;VMBO GL Bouwen, wonen en interieur;0;0;0;0;1;3;11;2;0;0;0;0
00LJ;05;Chr Coll Schaersvoorde;AALTEN;Gelderland;VMBO GL lj 3-4;Techniek;Produceren, installeren en energie;6131;VMBO GL Produceren, installeren en energie;0;0;0;0;9;1;14;0;0;0;0;0
00LJ;05;Chr Coll Schaersvoorde;AALTEN;Gelderland;VMBO GL lj 3-4;Zorg & Welzijn;Zorg en welzijn;6631;VMBO GL Zorg en welzijn;0;0;0;0;14;22;11;25;0;0;0;0
00LJ;05;Chr Coll Schaersvoorde;AALTEN;Gelderland;VMBO KL lj 3-4;Economie;Economie en ondernemen;6421;VMBO KB Economie en ondernemen;0;0;0;0;3;0;8;2;0;0;0;0
00LJ;05;Chr Coll Schaersvoorde;AALTEN;Gelderland;VMBO KL lj 3-4;Economie;Economie en ondernemen;6465;LWOO KB Economie en ondernemen;0;0;0;0;0;1;2;0;0;0;0;0
00LJ;05;Chr Coll Schaersvoorde;AALTEN;Gelderland;VMBO KL lj 3-4;Landbouw;Groen;6721;VMBO KB Groen;0;0;0;0;1;3;0;1;0;0;0;0
00LJ;05;Chr Coll Schaersvoorde;AALTEN;Gelderland;VMBO KL lj 3-4;Techniek;Bouwen, wonen en interieur;6021;VMBO KB Bouwen, wonen en interieur;0;0;0;0;3;0;4;0;0;0;0;0
00LJ;05;Chr Coll Schaersvoorde;AALTEN;Gelderland;VMBO KL lj 3-4;Techniek;Bouwen, wonen en interieur;6065;LWOO KB Bouwen, wonen en interieur;0;0;0;0;1;0;4;4;0;0;0;0
00LJ;05;Chr Coll Schaersvoorde;AALTEN;Gelderland;VMBO KL lj 3-4;Techniek;Produceren, installeren en energie;6121;VMBO KB Produceren, installeren en energie;0;0;0;0;12;1;7;0;0;0;0;0
00LJ;05;Chr Coll Schaersvoorde;AALTEN;Gelderland;VMBO KL lj 3-4;Techniek;Produceren, installeren en energie;6165;LWOO KB Produceren, installeren en energie;0;0;0;0;4;0;5;0;0;0;0;0
00LJ;05;Chr Coll Schaersvoorde;AALTEN;Gelderland;VMBO KL lj 3-4;Zorg & Welzijn;Zorg en welzijn;6621;VMBO KB Zorg en welzijn;0;0;0;0;6;6;0;6;0;0;0;0
00LJ;05;Chr Coll Schaersvoorde;AALTEN;Gelderland;VMBO KL lj 3-4;Zorg & Welzijn;Zorg en welzijn;6665;LWOO KB Zorg en welzijn;0;0;0;0;1;7;1;3;0;0;0;0
00LJ;05;Chr Coll Schaersvoorde;AALTEN;Gelderland;VMBO TL lj 3-4;Zorg & Welzijn;N.v.t.;0471;MAVO/Theor Lw-Profiel Zorg en Welzijn;0;0;0;0;0;0;1;0;0;0;0;0
00MK;00;Kath SGM De Breul;ZEIST;Utrecht;Brugjaar 1-2;N.v.t.;N.v.t.;0011;Ljvb op HAVO/VMBO-Th/Gm Lw;39;44;0;0;0;0;0;0;0;0;0;0
00MK;00;Kath SGM De Breul;ZEIST;Utrecht;Brugjaar 1-2;N.v.t.;N.v.t.;0015;Ljvb op VWO/HAVO;48;42;0;0;0;0;0;0;0;0;0;0
